Case,ID,size,pixel_num_lung,pixel_num_fibrosis
2_0000,2_0000_172,256,61425,14240
2_0000,2_0000_173,256,62001,12684
2_0000,2_0000_174,256,62604,11420
2_0000,2_0000_175,256,62850,10452
2_0000,2_0000_176,256,63033,10988
2_0000,2_0000_177,256,63258,11640
2_0000,2_0000_178,256,63294,11168
2_0000,2_0000_179,256,63417,9288
2_0000,2_0000_180,256,63651,8244
2_0000,2_0000_181,256,64341,9552
2_0000,2_0000_182,256,64998,9500
2_0000,2_0000_183,256,64980,9424
2_0000,2_0000_184,256,64566,8436
2_0000,2_0000_185,256,64059,7100
2_0000,2_0000_186,256,63831,6940
2_0000,2_0000_187,256,64077,5260
2_0000,2_0000_188,256,64641,5188
2_0000,2_0000_189,256,65223,5176
2_0000,2_0000_190,256,65850,4524
2_0000,2_0000_191,256,66198,5532
2_0000,2_0000_192,256,66147,5592
2_0000,2_0000_193,256,66306,5488
2_0000,2_0000_194,256,66942,5068
2_0000,2_0000_195,256,67941,6000
2_0000,2_0000_196,256,68553,7352
2_0000,2_0000_197,256,69024,7808
2_0000,2_0000_198,256,70038,8024
2_0000,2_0000_199,256,70659,8192
2_0000,2_0000_200,256,71370,8172
2_0000,2_0000_201,256,71961,7240
2_0000,2_0000_202,256,72543,8148
2_0000,2_0000_203,256,73359,7164
2_0000,2_0000_204,256,73620,6608
2_0000,2_0000_205,256,74262,5616
2_0000,2_0000_206,256,74667,5800
2_0000,2_0000_207,256,74136,5816
2_0000,2_0000_208,256,74598,5656
2_0000,2_0000_209,256,75663,7948
2_0000,2_0000_210,256,76230,6884
2_0000,2_0000_211,256,76404,5612
2_0000,2_0000_212,256,77223,5204
2_0000,2_0000_213,256,77445,5360
2_0000,2_0000_214,256,77979,4900
2_0000,2_0000_215,256,78930,6168
2_0000,2_0000_216,256,79899,5956
2_0000,2_0000_217,256,80655,7116
2_0000,2_0000_218,256,81141,8036
2_0000,2_0000_219,256,81774,7728
2_0000,2_0000_220,256,82128,7232
2_0000,2_0000_221,256,83172,7968
2_0000,2_0000_222,256,83427,7804
2_0000,2_0000_223,256,84228,9880
2_0000,2_0000_224,256,85182,10444
2_0000,2_0000_225,256,86070,9248
2_0000,2_0000_226,256,87324,7720
2_0000,2_0000_227,256,89016,9880
2_0000,2_0000_228,256,89577,8280
2_0000,2_0000_229,256,89802,8004
2_0000,2_0000_230,256,89874,7380
2_0000,2_0000_231,256,89808,7248
2_0000,2_0000_232,256,89730,7300
2_0000,2_0000_233,256,89844,7468
2_0000,2_0000_234,256,89784,8312
2_0000,2_0000_235,256,89871,7464
2_0000,2_0000_236,256,89772,7404
2_0000,2_0000_237,256,89619,7308
2_0000,2_0000_238,256,90057,6516
2_0000,2_0000_239,256,89937,5724
2_0000,2_0000_240,256,89961,4972
2_0000,2_0000_241,256,89964,5396
2_0000,2_0000_242,256,90189,4696
2_0000,2_0000_243,256,90357,3328
2_0000,2_0000_244,256,90849,3444
2_0000,2_0000_245,256,91566,3392
2_0000,2_0000_246,256,92133,2684
2_0000,2_0000_247,256,92388,2476
2_0000,2_0000_248,256,92643,1740
2_0000,2_0000_249,256,92790,1424
2_0000,2_0000_250,256,93051,2224
2_0000,2_0000_251,256,93432,2160
2_0000,2_0000_252,256,93741,1636
2_0000,2_0000_253,256,94023,1448
2_0000,2_0000_254,256,94407,1600
2_0000,2_0000_255,256,94548,1492
2_0000,2_0000_256,256,94656,2008
2_0000,2_0000_257,256,94692,2692
2_0000,2_0000_258,256,94932,2700
2_0000,2_0000_259,256,95274,2736
2_0000,2_0000_260,256,95535,2364
2_0000,2_0000_261,256,95769,2196
2_0000,2_0000_262,256,95988,2348
2_0000,2_0000_263,256,96129,2660
2_0000,2_0000_264,256,96216,3312
2_0000,2_0000_265,256,96546,3356
2_0000,2_0000_266,256,96636,2148
2_0000,2_0000_267,256,96372,2252
2_0000,2_0000_268,256,96195,2212
2_0000,2_0000_269,256,95850,2112
2_0000,2_0000_270,256,95508,2328
2_0000,2_0000_271,256,95331,2640
2_0000,2_0000_272,256,95088,2540
2_0000,2_0000_273,256,94773,3080
2_0000,2_0000_274,256,94587,4548
2_0000,2_0000_275,256,93825,2076
2_0000,2_0000_276,256,93669,1928
2_0000,2_0000_277,256,93915,2696
2_0000,2_0000_278,256,93933,3784
2_0000,2_0000_279,256,93813,3924
2_0000,2_0000_280,256,93840,2752
2_0000,2_0000_281,256,93822,3056
2_0000,2_0000_282,256,93492,2632
2_0000,2_0000_283,256,93288,2992
2_0000,2_0000_284,256,92976,2756
2_0000,2_0000_285,256,92838,2844
2_0000,2_0000_286,256,92694,2276
2_0000,2_0000_287,256,92481,2000
2_0000,2_0000_288,256,92067,1576
2_0000,2_0000_289,256,91902,1580
2_0000,2_0000_290,256,91944,864
2_0000,2_0000_291,256,91752,432
2_0000,2_0000_292,256,91668,820
2_0000,2_0000_293,256,91554,792
2_0000,2_0000_294,256,91272,872
2_0000,2_0000_295,256,90993,1140
2_0000,2_0000_296,256,90819,724
2_0000,2_0000_297,256,90498,912
2_0000,2_0000_298,256,90582,1076
2_0000,2_0000_299,256,90633,844
2_0000,2_0000_300,256,90180,828
2_0000,2_0000_301,256,89982,968
2_0000,2_0000_302,256,89835,1400
2_0000,2_0000_303,256,89358,1624
2_0000,2_0000_304,256,88848,1876
2_0000,2_0000_305,256,88626,1392
2_0000,2_0000_306,256,88428,1508
2_0000,2_0000_307,256,88179,1676
2_0000,2_0000_308,256,87963,1980
2_0000,2_0000_309,256,87600,1828
2_0000,2_0000_310,256,87450,1936
2_0000,2_0000_311,256,87282,1812
2_0000,2_0000_312,256,86652,1532
2_0000,2_0000_313,256,86148,1380
2_0000,2_0000_314,256,85650,1396
2_0000,2_0000_315,256,85161,1328
2_0000,2_0000_316,256,84711,1664
2_0000,2_0000_317,256,84153,2000
2_0000,2_0000_318,256,83691,1968
2_0000,2_0000_319,256,83235,1756
2_0000,2_0000_320,256,82794,1788
2_0000,2_0000_321,256,82119,1968
2_0000,2_0000_322,256,81492,1824
2_0000,2_0000_323,256,80937,1692
2_0000,2_0000_324,256,80160,1504
2_0000,2_0000_325,256,79521,1160
2_0000,2_0000_326,256,78816,1132
2_0000,2_0000_327,256,77940,988
2_0000,2_0000_328,256,77124,1320
2_0000,2_0000_329,256,76287,1500
2_0000,2_0000_330,256,75423,1744
2_0000,2_0000_331,256,74460,1464
2_0000,2_0000_332,256,73410,952
2_0000,2_0000_333,256,72393,1392
2_0000,2_0000_334,256,71508,1396
2_0000,2_0000_335,256,70341,1244
2_0000,2_0000_336,256,69429,1180
2_0000,2_0000_337,256,68397,932
