Case,ID,size,pixel_num_lung,pixel_num_fibrosis
2_0000,2_0000_167,256,29436,3964
2_0000,2_0000_168,256,30009,3780
2_0000,2_0000_169,256,30663,3068
2_0000,2_0000_170,256,31695,4992
2_0000,2_0000_171,256,32259,6668
2_0000,2_0000_172,256,32592,6704
2_0000,2_0000_173,256,32949,5980
2_0000,2_0000_174,256,33243,6440
2_0000,2_0000_175,256,33420,6868
2_0000,2_0000_176,256,33444,7116
2_0000,2_0000_177,256,33537,6016
2_0000,2_0000_178,256,33552,5328
2_0000,2_0000_179,256,33606,5000
2_0000,2_0000_180,256,33729,5552
2_0000,2_0000_181,256,34140,5572
2_0000,2_0000_182,256,34395,5776
2_0000,2_0000_183,256,34449,5204
2_0000,2_0000_184,256,34239,4120
2_0000,2_0000_185,256,33966,4124
2_0000,2_0000_186,256,33834,4220
2_0000,2_0000_187,256,33963,3644
2_0000,2_0000_188,256,34296,3168
2_0000,2_0000_189,256,34629,2172
2_0000,2_0000_190,256,35001,2100
2_0000,2_0000_191,256,35208,2420
2_0000,2_0000_192,256,35175,2992
2_0000,2_0000_193,256,35142,3540
2_0000,2_0000_194,256,35472,2876
2_0000,2_0000_195,256,36018,2616
2_0000,2_0000_196,256,36384,4656
2_0000,2_0000_197,256,36606,4660
2_0000,2_0000_198,256,37173,3960
2_0000,2_0000_199,256,37482,3684
2_0000,2_0000_200,256,37845,4652
2_0000,2_0000_201,256,38118,4488
2_0000,2_0000_202,256,38421,4292
2_0000,2_0000_203,256,38856,4056
2_0000,2_0000_204,256,39018,4508
2_0000,2_0000_205,256,39357,4140
2_0000,2_0000_206,256,39582,4568
2_0000,2_0000_207,256,39327,5780
2_0000,2_0000_208,256,39573,6216
2_0000,2_0000_209,256,40203,5964
2_0000,2_0000_210,256,40485,6032
2_0000,2_0000_211,256,40506,6448
2_0000,2_0000_212,256,40929,6472
2_0000,2_0000_213,256,41070,6596
2_0000,2_0000_214,256,41322,6344
2_0000,2_0000_215,256,41856,5820
2_0000,2_0000_216,256,42345,5516
2_0000,2_0000_217,256,42801,4916
2_0000,2_0000_218,256,43074,6476
2_0000,2_0000_219,256,43314,5672
2_0000,2_0000_220,256,43527,5708
2_0000,2_0000_221,256,44049,5860
2_0000,2_0000_222,256,44229,5536
2_0000,2_0000_223,256,44577,4724
2_0000,2_0000_224,256,45150,4228
2_0000,2_0000_225,256,45627,4716
2_0000,2_0000_226,256,46266,5644
2_0000,2_0000_227,256,47202,5920
2_0000,2_0000_228,256,47493,6396
2_0000,2_0000_229,256,47580,6604
2_0000,2_0000_230,256,47607,6724
2_0000,2_0000_231,256,47625,6352
2_0000,2_0000_232,256,47574,5700
2_0000,2_0000_233,256,47631,5028
2_0000,2_0000_234,256,47544,5252
2_0000,2_0000_235,256,47595,5948
2_0000,2_0000_236,256,47625,6124
2_0000,2_0000_237,256,47634,5932
2_0000,2_0000_238,256,47784,5296
2_0000,2_0000_239,256,47754,5388
2_0000,2_0000_240,256,47739,6148
2_0000,2_0000_241,256,47727,6068
2_0000,2_0000_242,256,47850,5712
2_0000,2_0000_243,256,47994,5068
2_0000,2_0000_244,256,48276,4932
2_0000,2_0000_245,256,48645,4456
2_0000,2_0000_246,256,48918,3412
2_0000,2_0000_247,256,49008,3788
2_0000,2_0000_248,256,49128,3348
