Image_ID,MedSAM Dice 50 manual,MedSAM Orig Dice Scores,Diffusion + Unet,Diffusion + Unet_noscale,"max(sclae,noS)",mask_area
389,,0.160512507,0.621349931,0.577972353,0.621349931,3905
390,,0.245487973,0.610050917,0.590476215,0.610050917,5463
391,,0.081210122,0.496942759,0.479704797,0.496942759,2475
392,,0.162908286,0.372319698,0.357672572,0.372319698,3571
393,,0.621436894,0.646816075,0.674736738,0.674736738,21792
394,,0.238678738,0.479338855,0.285294116,0.479338855,894
395,,0.372926354,0.352136761,0.314391941,0.352136761,612
396,,0.17001617,0.628162801,0.725450873,0.725450873,3503
397,,0.280887306,0.412644655,0.251236856,0.412644655,10719
398,,0.266048402,0.68351233,0.638499856,0.68351233,7305
399,,0.366932392,0.578804374,0.592146039,0.592146039,4058
400,,0.317424983,0.605613828,0.741538465,0.741538465,9017
401,,0.151969478,0.66416508,0.586898386,0.66416508,4906
402,,0.145776451,0.407660753,0.447737426,0.447737426,3191
403,,0.273695409,0.729794383,0.796931803,0.796931803,9373
404,,0.586587071,0.590210557,0.728195667,0.728195667,8626
405,,0.327695549,0.604737818,0.586497068,0.604737818,8562
406,,0.636717916,0.590275228,0.843027949,0.843027949,22112
407,,0.223307237,0.673267305,0.62743324,0.673267305,5981
408,,0.17049776,0.573643386,0.595941961,0.595941961,5256
409,,0.362907082,0.028384279,0,0.028384279,2361
410,,0.786634207,0.657039702,0.838999808,0.838999808,4753
411,,0.279080689,0.01904762,0.03528893,0.03528893,795
412,,0.090309396,0.299581587,0.276824534,0.299581587,1242
413,,0.380150646,0.767790258,0.684066355,0.767790258,3167
414,,0.075371839,0.374864578,0.238225773,0.374864578,1321
415,,0.227578074,0.410410404,0.463547587,0.463547587,6385
416,,0.55965066,0.802575111,0.787104785,0.802575111,7788
417,,0.477440536,0.679546952,0.624978602,0.679546952,3852
418,,0.419729352,0.544120073,0.648806393,0.648806393,14466
419,,0.223161027,0.29128316,0.287686676,0.29128316,1230
420,,0.557919621,0.08219178,0.006944444,0.08219178,1742
421,,0.134540036,0.460540533,0.382302552,0.460540533,3374
422,,0.203399375,0.389194131,0.307307184,0.389194131,6564
423,,0.154581159,0.579086125,0.4890351,0.579086125,5155
424,,0.227327526,0.383032352,0.425940752,0.425940752,6160
425,,0.259916782,0.659841776,0.581637383,0.659841776,3795
426,,0.249671549,0.644255638,0.547527909,0.644255638,6126
427,,0.106344901,0.548274159,0.585543871,0.585543871,2605
428,,0.239886805,0.372926354,0.372881353,0.372926354,2365
429,,0.356736243,0,0.076369673,0.076369673,258
430,,0.146448582,0.411167502,0.550724626,0.550724626,1430
431,,0.195776135,0.629213512,0.6271258,0.629213512,6915
432,,0.224709958,0.589484334,0.590743005,0.590743005,8505
433,,0.375787497,0.641516507,0.497560978,0.641516507,13174
434,,0.404465824,0.699496627,0.677406907,0.699496627,10903
435,,0.310760826,0.321088433,0.284951627,0.321088433,1322
436,,0.288946599,0.123031855,0.465284437,0.465284437,10204
437,,0.380151987,0.644944489,0.552226067,0.644944489,15689
438,,0.386677086,0.371300459,0.369714409,0.371300459,915
439,,0.545214713,0.536912739,0.54588908,0.54588908,5941
440,,0.124668263,0.55300355,0.563311875,0.563311875,3355
441,,0.428443998,0.822734356,0.794097841,0.822734356,13228
442,,0.173977613,0.724544466,0.724907637,0.724907637,3874
443,,0.467555374,0.20583941,0.480112821,0.480112821,2923
444,,0.179708958,0.276295125,0.390086561,0.390086561,3068
445,,0.353344232,0.719749928,0.672629356,0.719749928,13477
446,,0.061042931,0.339140534,0.309890717,0.339140534,1336
447,,0.386466742,0.493355483,0.362527937,0.493355483,2984
448,,0.103688523,0.55350554,0.501305461,0.55350554,3116
449,,0.33612597,0.630341887,0.627699435,0.630341887,7146
450,,0.128020227,0.266304344,0.330928177,0.330928177,2234
451,,0.157410294,0.260363638,0.267719895,0.267719895,1579
452,,0.16424723,0.565044403,0.621190786,0.621190786,5944
453,,0.437866122,0.700386763,0.726725876,0.726725876,8049
454,,0.33729744,0.314242661,0.52343452,0.52343452,5501
455,,0.37434876,0.721347511,0.657329977,0.721347511,6375
456,,0.278502107,0.544675648,0.672119796,0.672119796,4649
457,,0.267431915,0.495185703,0.488844335,0.495185703,4373
458,,0.231025189,0.481707305,0.611664295,0.611664295,4190
459,,0.165074408,0.351209939,0.332492173,0.351209939,4506
460,,0.169224784,0.470046073,0.44198525,0.470046073,5257
461,,0.20386827,0.705660403,0.753886402,0.753886402,6749
462,,0.20067668,0.769607842,0.759045959,0.769607842,5762
463,,0.03963891,0.236263737,0.276662499,0.276662499,2023
464,,0.300903857,0.508592546,0.53913933,0.53913933,10088
465,,0.519033968,0.427138656,0.702916205,0.702916205,5160
466,,0.20591189,0.679657042,0.698130012,0.698130012,2030
467,,0.317391992,0.599463046,0.641543984,0.641543984,9559
468,,0.2542274,0.683874726,0.685066283,0.685066283,7702
469,,0.135759234,0.534308195,0.38950491,0.534308195,3296
470,,0.120251954,0.67952013,0.722350776,0.722350776,4416
471,,0.376330793,0.738725841,0.714518189,0.738725841,7008
472,,0.568306029,0.162790701,0,0.162790701,285
473,,0.25022307,0.739556491,0.712434888,0.739556491,8303
474,,0.182195246,0.634187341,0.632106304,0.634187341,6112
475,,0.376409769,0.351810783,0.378863811,0.378863811,1134
476,,0.216511175,0.252123386,0.242985487,0.252123386,3024
477,,0.047812473,0.551620185,0.451705009,0.551620185,1677
478,,0.325028569,0.523560226,0.41366908,0.523560226,2636
479,,0.376990557,0.606060624,0.639937997,0.639937997,8911
480,,0.341452241,0.637484908,0.591426432,0.637484908,8971
481,,0.472349674,0.611201048,0.857912302,0.857912302,8255
482,,0.379232496,0.510344803,0.645085037,0.645085037,5292
483,,0.533070505,0.727639198,0.751852632,0.751852632,18779
484,,0.08424402,0.651817143,0.637681186,0.651817143,1811
485,,0.481997132,0.433035702,0.446115285,0.446115285,1316
486,,0.31210807,0.582662702,0.615241885,0.615241885,10165
487,,0.160469577,0.631323338,0.536381721,0.631323338,4777
488,,0.190068498,0.492768079,0.465211898,0.492768079,3403
489,,0.320443451,0,0,0,1587
490,,0.518484473,0.661166906,0.703676343,0.703676343,20685
491,,0.109487198,0.63983053,0.534734607,0.63983053,2946
492,,0.228797421,0.59620595,0.631893516,0.631893516,3884
