Image_ID,orig_covid_ms1.50 - fib score,orig_covid_ms1.50 - fib score manip,manip - fib
310,0.017358534,0.596296787,0.578938253
311,0.037868325,0.661700189,0.623831864
312,0.405318141,0.993748546,0.588430405
313,0.0764305,0.915808976,0.839378476
314,0.003052967,0.546071947,0.54301898
315,0.002336354,0.669383109,0.667046755
316,0.157488212,0.950033128,0.792544916
317,0.002456747,0.70322597,0.700769223
318,0.090924539,0.953489184,0.862564646
319,0.079263709,0.776770413,0.697506703
320,0.022023974,0.867598593,0.845574619
321,0.028935444,0.981637657,0.952702213
322,0.011943889,0.968723714,0.956779826
323,0.003563816,0.105092965,0.101529149
324,0.013238392,0.812351942,0.79911355
325,0.005855668,0.904998183,0.899142515
326,0.011200263,0.046477836,0.035277572
